YearEnd,LocationAbbr,percent_bf,Low_Confidence_bf,High_Confidence_bf
2011,AL,38,26.8,50.5
2012,AL,45.6,32.7,59.2
2013,AL,40.8,30.8,51.7
2014,AL,38.3,28.3,49.4
2015,AL,25.1,17.7,34.3
2016,AL,25.1,17.5,34.7
2011,AK,28.2,21.1,36.4
2012,AK,32.4,24.6,41.5
2013,AK,29.8,23.4,37.2
2014,AK,26.7,20.6,33.7
2015,AK,17.6,12.2,24.7
2016,AK,21.8,16.1,28.8
2011,AZ,37.6,28.3,47.9
2012,AZ,38.1,27.5,50
2013,AZ,38.9,30.2,48.4
2014,AZ,43.7,34.3,53.6
2015,AZ,31.5,24.3,39.6
2016,AZ,41.2,33.5,49.5
2011,AR,40.2,28.5,53.2
2012,AR,26.3,16.3,39.4
2013,AR,42,31,54
2014,AR,29.4,19.9,41.1
2015,AR,40.8,31.5,50.7
2016,AR,29.7,21.6,39.2
2011,CA,32.8,25,41.6
2012,CA,34.8,26.4,44.3
2013,CA,31.9,23.6,41.6
2014,CA,30.6,22.5,40.1
2015,CA,33.4,25,42.9
2016,CA,31.5,21.9,42.9
2011,CO,29.6,22.1,38.5
2012,CO,30.4,23,39
2013,CO,37.5,29.7,46
2014,CO,29.5,21.9,38.5
2015,CO,36.1,28,45.1
2016,CO,30.8,23.2,39.7
2011,CT,42.8,33.5,52.7
2012,CT,41.5,31.5,52.4
2013,CT,39.2,30.6,48.6
2014,CT,33.9,25.6,43.4
2015,CT,37.2,29.8,45.4
2016,CT,36.6,26.8,47.6
2011,DE,30.5,20.9,42.1
2012,DE,30.8,22,41.2
2013,DE,38.1,28.6,48.5
2014,DE,42.7,33.7,52.2
2015,DE,32.9,24.8,42.2
2016,DE,39.1,30.4,48.6
2011,DC,49.7,40.2,59.2
2012,DC,45.5,37.1,54.3
2013,DC,42.7,35.4,50.3
2014,DC,40.3,33.5,47.6
2015,DC,38.1,31.1,45.7
2016,DC,39,31.5,47.1
2011,FL,41.6,31.4,52.6
2012,FL,36.6,25.7,49.1
2013,FL,37,27.8,47.1
2014,FL,28.4,20.2,38.2
2015,FL,35.7,27.5,44.9
2016,FL,34.1,26.2,42.9
2011,GA,46.8,32.6,61.5
2012,GA,40.7,29.1,53.5
2013,GA,32.9,23.9,43.3
2014,GA,43.4,34.9,52.4
2015,GA,39.9,31.9,48.5
2016,GA,32.2,25.3,40
2014,GU,50.3,41.4,59.2
2015,GU,43.8,34.7,53.4
2016,GU,36.6,27.5,46.7
2011,HI,38.2,29.9,47.3
2012,HI,38.5,30.4,47.3
2013,HI,31.1,24.2,39
2014,HI,25.4,19,33
2015,HI,25.5,19.3,32.9
2016,HI,31.7,25.1,39.2
2011,ID,31.4,22.9,41.3
2012,ID,37.8,28.3,48.2
2013,ID,27.6,20.5,36.2
2014,ID,27.9,20.2,37.3
2015,ID,30.7,23.3,39.2
2016,ID,31.7,23.6,40.9
2011,IL,44.1,36.9,51.5
2012,IL,44.8,37.1,52.8
2013,IL,34.1,28.3,40.5
2014,IL,34.8,29.3,40.8
2015,IL,41.5,35.3,47.9
2016,IL,38.2,32.1,44.8
2011,IN,34.9,25.1,46.2
2012,IN,28.6,20.6,38.2
2013,IN,34.5,25.4,45
2014,IN,23.9,16.3,33.6
2015,IN,22.6,16,30.9
2016,IN,26.4,19.6,34.6
2011,IA,40,29.7,51.3
2012,IA,23.3,15.3,33.9
2013,IA,32.4,24.2,41.8
2014,IA,33.5,26.3,41.5
2015,IA,30.5,22.1,40.4
2016,IA,25.4,18.1,34.3
2011,KS,39.1,28.7,50.6
2012,KS,25.7,17.2,36.6
2013,KS,29.8,21.8,39.3
2014,KS,29.4,21.4,38.9
2015,KS,27.9,19.7,38.1
2016,KS,20.5,13.6,29.6
2011,KY,30.4,20.3,42.7
2012,KY,30,19.1,43.7
2013,KY,29.5,20.2,40.8
2014,KY,33.6,24.7,43.8
2015,KY,36.1,26.8,46.6
2016,KY,19.1,12.6,27.8
2011,LA,35.8,25.6,47.3
2012,LA,36.4,24.8,49.9
2013,LA,38,27.2,50.1
2014,LA,31.1,21.9,42.1
2015,LA,25.2,18.4,33.5
2016,LA,37,28,47
2011,ME,18.1,11.5,27.1
2012,ME,40.2,30.6,50.6
2013,ME,24.6,17.5,33.4
2014,ME,32.6,25.3,40.8
2015,ME,22.4,16.4,30
2016,ME,25.6,19.2,33.4
2011,MD,37.6,28.3,47.9
2012,MD,38.4,28.7,49
2013,MD,48.3,39.7,56.9
2014,MD,41.5,33.1,50.4
2015,MD,36.3,27.3,46.4
2016,MD,42.2,33.7,51.1
2011,MA,44.3,34.2,54.9
2012,MA,27,19.1,36.6
2013,MA,43.6,35.8,51.8
2014,MA,34.2,27.2,41.8
2015,MA,33.1,25.3,42
2016,MA,32.9,24.2,43.1
2011,MI,33.8,24.6,44.4
2012,MI,38,27.4,49.9
2013,MI,35.1,26.5,44.8
2014,MI,31.9,24,40.9
2015,MI,33.2,25.6,41.7
2016,MI,27.2,20.4,35.3
2011,MN,39.1,29,50.2
2012,MN,40,28.4,52.9
2013,MN,31.9,25.1,39.6
2014,MN,30.1,22.9,38.4
2015,MN,24.1,17.3,32.6
2016,MN,28.2,19.9,38.2
2011,MS,38.6,25.5,53.6
2012,MS,42.1,29,56.5
2013,MS,43.5,30.9,57.1
2014,MS,30.7,20.9,42.6
2015,MS,35.8,26.7,46
2016,MS,34.8,26.9,43.6
2011,MO,38.2,27.5,50.2
2012,MO,27,17.6,39.1
2013,MO,24,16.8,33.2
2014,MO,29.3,20.7,39.8
2015,MO,27.9,20.6,36.6
2016,MO,37.6,29.3,46.8
2011,MT,25.4,17.6,35.3
2012,MT,27.9,18.6,39.7
2013,MT,18.3,11.9,27.1
2014,MT,28.2,20.6,37.1
2015,MT,18.4,12.1,26.9
2016,MT,21.4,15.6,28.7
2011,NE,31.3,22.3,41.9
2012,NE,39.1,29.9,49.1
2013,NE,33.4,24.6,43.5
2014,NE,40.1,31,50
2015,NE,28.2,20.4,37.6
2016,NE,31.4,23.3,40.8
2011,NV,32.6,24.4,42
2012,NV,40.1,31,49.9
2013,NV,28.5,20.7,37.8
2014,NV,28.9,20.7,38.8
2015,NV,35.3,26.4,45.4
2016,NV,34.3,26.7,42.9
2011,NH,28.9,20.7,38.7
2012,NH,22.7,16.2,30.9
2013,NH,28.7,21.2,37.6
2014,NH,23.5,17,31.5
2015,NH,31.1,24,39.1
2016,NH,25.9,19.1,34.1
2011,NJ,41.2,32.4,50.7
2012,NJ,43.2,33.5,53.5
2013,NJ,43.2,34.7,52.2
2014,NJ,41.2,33.5,49.3
2015,NJ,43,35.7,50.5
2016,NJ,44.4,37,52.1
2011,NM,36.7,27.3,47.3
2012,NM,33.5,23.9,44.7
2013,NM,21.8,14.6,31
2014,NM,32.6,24.5,41.8
2015,NM,34.2,26.4,42.9
2016,NM,25.4,19.2,32.9
2011,NY,49.2,42.8,55.7
2012,NY,44.6,38.2,51.2
2013,NY,46,40.5,51.6
2014,NY,43,37.8,48.4
2015,NY,43.8,38.2,49.5
2016,NY,41.9,35.8,48.2
2011,NC,38.6,29.4,48.7
2012,NC,32.7,23.6,43.2
2013,NC,30.7,22.6,40.2
2014,NC,31.2,23.7,39.7
2015,NC,36.1,28.4,44.7
2016,NC,36.6,29.4,44.4
2011,ND,24.6,18.1,32.5
2012,ND,29.1,21,38.7
2013,ND,27.7,19.9,37.2
2014,ND,34.3,26.1,43.5
2015,ND,28.7,21.3,37.4
2016,ND,25.7,18.6,34.3
2011,OH,39.4,29.4,50.4
2012,OH,32.5,22.4,44.6
2013,OH,32.9,24.2,42.9
2014,OH,34.6,26.1,44.3
2015,OH,32,24.7,40.3
2016,OH,28.9,22,36.8
2011,OK,22.8,15.3,32.6
2012,OK,27.6,18.8,38.5
2013,OK,37.8,27,49.9
2014,OK,27.5,19.9,36.7
2015,OK,32,24,41.2
2016,OK,27.3,20.6,35.1
2011,OR,34,26.3,42.6
2012,OR,32.2,23.5,42.3
2013,OR,33.2,24.5,43.2
2014,OR,23.2,16.5,31.7
2015,OR,27.9,19.7,37.8
2016,OR,26.3,17.9,36.8
2011,PA,38.7,31.5,46.5
2012,PA,35.4,28,43.5
2013,PA,29.9,22.3,38.9
2014,PA,34.7,27.5,42.7
2015,PA,35.2,27,44.5
2016,PA,29,22.4,36.8
2013,PR,37.1,28.9,46.2
2014,PR,33.9,26.8,41.9
2015,PR,26.2,19.4,34.4
2016,PR,~,~,
2011,RI,34.2,24.9,44.9
2012,RI,33,23.3,44.4
2013,RI,32.6,24.8,41.6
2014,RI,29.4,21.7,38.5
2015,RI,27.9,21,36
2016,RI,35.9,27.6,45.1
2011,SC,39.3,28.6,51.2
2012,SC,32.2,21.8,44.9
2013,SC,22,14.7,31.6
2014,SC,27.8,19.6,37.8
2015,SC,27.4,19.8,36.5
2016,SC,30.3,22.7,39.3
2011,SD,34.8,24.3,47
2012,SD,30.8,21.1,42.5
2013,SD,26.4,18.9,35.6
2014,SD,26.5,19.9,34.5
2015,SD,22.9,16.1,31.5
2016,SD,25.1,18.8,32.6
2011,TN,34.3,24.4,45.7
2012,TN,30.2,21.2,41
2013,TN,33.3,23.6,44.7
2014,TN,50.2,39.8,60.6
2015,TN,36,26.8,46.4
2016,TN,36.5,26.7,47.6
2011,TX,36,29,43.7
2012,TX,35.5,28.9,42.6
2013,TX,33.9,28.8,39.3
2014,TX,35.8,31.4,40.6
2015,TX,36.7,32.5,41
2016,TX,35.9,31.9,40.1
2011,UT,36.9,28.9,45.7
2012,UT,46.7,37.1,56.6
2013,UT,42.8,33.9,52.3
2014,UT,31.1,24.1,39
2015,UT,32.2,24.6,40.9
2016,UT,40.8,33.5,48.4
2011,VT,29.3,22.5,37
2012,VT,26.3,19.5,34.4
2013,VT,24.7,18.4,32.4
2014,VT,24.4,18.3,31.8
2015,VT,25.5,19.1,33.1
2016,VT,24.7,18.1,32.9
2014,VI,52.3,43.7,60.8
2015,VI,52.5,39.1,65.6
2016,VI,~,~,
2011,VA,43.9,31.9,56.7
2012,VA,29.1,19.9,40.3
2013,VA,35.9,26.2,46.8
2014,VA,36.3,26.8,47
2015,VA,40.5,31,50.8
2016,VA,36.7,27.1,47.5
2011,WA,38.7,28.6,49.8
2012,WA,25.1,17.3,34.9
2013,WA,32.2,24.5,41.1
2014,WA,22.6,16.7,29.7
2015,WA,32.1,25,40.2
2016,WA,39.9,30.6,50
2011,WV,36.8,25.5,49.7
2012,WV,33,22,46.4
2013,WV,30.3,21.5,41
2014,WV,17.1,10.7,26.4
2015,WV,28.2,20.6,37.4
2016,WV,30,22.3,38.9
2011,WI,35.9,27,46
2012,WI,27.9,18.8,39.2
2013,WI,33.5,25.1,43
2014,WI,31.9,24,41
2015,WI,34.1,26.2,42.9
2016,WI,25.4,18.9,33.2
2011,WY,33.1,23.8,43.8
2012,WY,23.1,15.4,33.3
2013,WY,18.2,12.2,26.4
2014,WY,24.8,18.5,32.4
2015,WY,25.2,19,32.4
2016,WY,26,18.6,35.2
